FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
82601,82601,Distrito Federal,Brazil,26/05/2020 02:32,-15.7998,-47.8645,6930,114,0,6816,Distrito Federal
82601,82601,Durango,Mexico,26/05/2020 02:32,24.5593,-104.6588,246,26,150,70,Durango
82601,82601,Emilia-Romagna,Italy,26/05/2020 02:32,44.49436681,11.3417208,27587,4068,19160,4359,Emilia-Romagna
82601,82601,Espirito Santo,Brazil,26/05/2020 02:32,-19.1834,-40.3089,10365,465,0,9900,Espirito Santo
82601,82601,Extremadura,Spain,26/05/2020 02:32,39.4937,-6.0679,2952,506,0,2446,Extremadura
82601,82601,Falkland Islands (Malvinas),United Kingdom,26/05/2020 02:32,-51.7963,-59.5236,13,0,13,0,Falkland Islands (Malvinas)
82601,82601,Faroe Islands,Denmark,26/05/2020 02:32,61.8926,-6.9118,187,0,187,0,Faroe Islands
82601,82601,French Guiana,France,26/05/2020 02:32,4.0,-53.0,353,1,146,206,French Guiana
82601,82601,French Polynesia,France,26/05/2020 02:32,-17.6797,-149.4068,60,0,60,0,French Polynesia
82601,82601,Friuli Venezia Giulia,Italy,26/05/2020 02:32,45.6494354,13.76813649,3240,329,2525,386,Friuli Venezia Giulia
82601,82601,Fujian,China,26/05/2020 02:32,26.0789,117.9874,357,1,355,1,Fujian
82601,82601,Galicia,Spain,26/05/2020 02:32,42.5751,-8.1339,9079,607,0,8472,Galicia
82601,82601,Gansu,China,26/05/2020 02:32,35.7518,104.2861,139,2,137,0,Gansu
82601,82601,Gibraltar,United Kingdom,26/05/2020 02:32,36.1408,-5.3536,154,0,147,7,Gibraltar
82601,82601,Goias,Brazil,26/05/2020 02:32,-15.827,-49.8362,2515,96,0,2416,Goias
82601,82601,Grand Princess,Canada,26/05/2020 02:32,,,13,0,13,0,Grand Princess
82601,82601,Greenland,Denmark,26/05/2020 02:32,71.7069,-42.6043,12,0,11,1,Greenland
82601,82601,Guadeloupe,France,26/05/2020 02:32,16.265,-61.551,161,14,115,32,Guadeloupe
82601,82601,Guanajuato,Mexico,26/05/2020 02:32,21.019000000000002,-101.2574,1127,91,666,370,Guanajuato
82601,82601,Guangdong,China,26/05/2020 02:32,23.3417,113.4244,1592,8,1581,3,Guangdong
82601,82601,Guangxi,China,26/05/2020 02:32,23.8298,108.7881,254,2,252,0,Guangxi
